Date,Close,High,Low,Open,Volume
2024-05-29,116.25,117.08000183105469,112.4000015258789,113.37000274658203,1942600
2024-05-30,124.44999694824219,125.7300033569336,120.2300033569336,122.94999694824219,4369400
2024-05-31,129.86000061035156,130.80999755859375,125.4000015258789,125.4800033569336,16976000
2024-06-03,124.2300033569336,128.52999877929688,122.63999938964844,128.52999877929688,1809600
2024-06-04,119.72000122070312,124.22000122070312,118.87000274658203,123.79000091552734,1125300
2024-06-05,119.79000091552734,122.52999877929688,116.5,119.75,1795000
2024-06-06,117.44000244140625,119.44000244140625,116.93000030517578,119.19999694824219,1283600
2024-06-07,123.31999969482422,124.5999984741211,116.5199966430664,117.52999877929688,1485700
2024-06-10,122.58999633789062,124.41000366210938,121.68000030517578,123.12999725341797,1636200
2024-06-11,121.37999725341797,122.55999755859375,119.62000274658203,121.4800033569336,682500
2024-06-12,119.9800033569336,123.52999877929688,118.69999694824219,122.93000030517578,701700
2024-06-13,125.0,125.83999633789062,122.22000122070312,122.22000122070312,2162100
2024-06-14,122.83999633789062,125.88999938964844,120.33999633789062,124.08999633789062,1000500
2024-06-17,116.83000183105469,122.55000305175781,116.5,122.52999877929688,1422100
2024-06-18,117.5199966430664,120.29000091552734,116.7699966430664,117.01000213623047,1467800
2024-06-20,123.5,123.7300033569336,115.73999786376953,117.52999877929688,2155100
2024-06-21,160.72000122070312,173.25,157.25,161.97000122070312,15011600
2024-06-24,163.85000610351562,168.30999755859375,162.0,162.25,4542900
2024-06-25,158.05999755859375,164.52000427246094,157.3800048828125,164.52000427246094,2330700
2024-06-26,156.91000366210938,157.83999633789062,151.25999450683594,155.75,2267100
2024-06-27,157.9600067138672,158.74000549316406,152.74000549316406,156.72000122070312,1234700
2024-06-28,158.0,159.77000427246094,156.0,157.9600067138672,1925500
2024-07-01,156.75,162.9499969482422,155.17999267578125,158.0,1651200
2024-07-02,154.1999969482422,156.6999969482422,153.64999389648438,156.4600067138672,1327100
2024-07-03,153.11000061035156,155.9499969482422,151.25,154.0,615300
2024-07-05,151.72999572753906,152.5800018310547,150.97999572753906,152.57000732421875,961900
2024-07-08,151.47999572753906,154.89999389648438,150.47000122070312,152.97999572753906,1397600
2024-07-09,150.25,152.35000610351562,148.2100067138672,151.22999572753906,1943300
2024-07-10,149.25,152.25999450683594,148.55999755859375,151.0,1120800
2024-07-11,152.11000061035156,152.80999755859375,149.02000427246094,150.05999755859375,1402300
2024-07-12,152.11000061035156,153.25999450683594,150.3300018310547,152.8000030517578,1190000
2024-07-15,152.6699981689453,154.1300048828125,150.75,152.32000732421875,970500
2024-07-16,148.97999572753906,153.3000030517578,148.3699951171875,152.11000061035156,1506100
2024-07-17,146.89999389648438,149.2100067138672,144.6999969482422,147.52000427246094,1133500
2024-07-18,143.77999877929688,147.85000610351562,143.6199951171875,147.57000732421875,693800
2024-07-19,145.61000061035156,147.24000549316406,143.74000549316406,144.35000610351562,1435300
2024-07-22,146.35000610351562,147.3300018310547,144.33999633789062,145.38999938964844,1221400
2024-07-23,147.63999938964844,149.2899932861328,145.41000366210938,145.5500030517578,1230800
2024-07-24,146.0,147.60000610351562,145.0399932861328,146.1300048828125,827300
2024-07-25,147.55999755859375,149.91000366210938,146.13999938964844,146.13999938964844,1092800
2024-07-26,144.24000549316406,148.1199951171875,143.30999755859375,147.94000244140625,964500
2024-07-29,146.02999877929688,150.47999572753906,145.0500030517578,147.72000122070312,1373500
2024-07-30,143.0399932861328,146.3800048828125,142.86000061035156,145.99000549316406,924900
2024-07-31,142.24000549316406,144.27000427246094,141.2100067138672,143.35000610351562,1040400
2024-08-01,144.00999450683594,144.9499969482422,140.6300048828125,143.52000427246094,1324100
2024-08-02,143.94000244140625,144.67999267578125,140.38999938964844,140.44000244140625,1181600
2024-08-05,140.64999389648438,142.38999938964844,136.77999877929688,137.0,1084800
2024-08-06,142.85000610351562,144.4499969482422,140.6999969482422,141.64999389648438,821300
2024-08-07,140.05999755859375,145.0,139.91000366210938,144.11000061035156,1545700
2024-08-08,136.39999389648438,137.58999633789062,130.0,135.0,3473000
2024-08-09,125.33999633789062,133.38999938964844,123.5,133.3800048828125,3304000
2024-08-12,128.64999389648438,128.89999389648438,125.12999725341797,126.02999877929688,1363700
2024-08-13,133.4600067138672,133.67999267578125,128.0,129.08999633789062,1404000
